Full Data,CC,IPW,ML (EM)
1.98,1.732,1.911,1.97
0.831,1.034,1.523,1.126
1.407,2.261,3.55,2.627
1.984,1.802,1.972,1.964
0.897,1.149,1.518,1.12
1.611,2.679,3.679,2.997
1.968,1.885,1.991,1.713
3.163,4.147,3.226,3.856
19.987,35.053,23.39,54.772
2.413,2.816,2.853,0.76
30.973,42.803,30.519,38.988
1910.905,3650.775,2171.201,6007.44
